City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Padang,ID,2022-02-08 19:22:26,-0.9492,100.3543,77.76,81,100,5.57
68,Matara,LK,2022-02-08 19:22:27,5.9485,80.5353,75.49,79,97,4.79
69,Dawson,US,2022-02-08 19:22:27,31.7735,-84.4466,55.51,29,100,6.46
70,Puerto Ayora,EC,2022-02-08 19:22:28,-0.7393,-90.3518,82.36,69,62,10.71
71,Alamor,EC,2022-02-08 19:22:28,-4.0181,-80.0197,67.24,80,100,4.56
72,Sao Jose Da Coroa Grande,BR,2022-02-08 19:22:28,-8.8978,-35.1478,83.26,66,0,11.77
73,Yellowknife,CA,2022-02-08 19:21:19,62.456,-114.3525,-14.58,79,75,4.61
74,College,US,2022-02-08 19:18:05,64.8569,-147.8028,-2.25,74,75,4.61
75,Rikitea,PF,2022-02-08 19:22:29,-23.1203,-134.9692,78.33,73,40,10.65
76,Mar Del Plata,AR,2022-02-08 19:22:30,-38.0023,-57.5575,69.82,78,0,13.8
77,Brigantine,US,2022-02-08 19:22:30,39.4101,-74.3646,47.14,57,0,24.16
78,Punta Arenas,CL,2022-02-08 19:17:31,-53.15,-70.9167,57.31,44,40,21.85
79,Gazli,UZ,2022-02-08 19:22:31,40.1333,63.45,40.24,50,35,4.85
80,Qaanaaq,GL,2022-02-08 19:22:31,77.484,-69.3632,-11.78,93,100,4.74
81,Tenenkou,ML,2022-02-08 19:22:32,14.4572,-4.9169,80.85,8,0,9.91
82,Zihuatanejo,MX,2022-02-08 19:22:32,17.6333,-101.55,86.09,66,20,10.36
83,Sao Joao Da Barra,BR,2022-02-08 19:22:32,-21.6403,-41.0511,77.09,85,58,6.64
84,Beringovskiy,RU,2022-02-08 19:22:33,63.05,179.3167,-21.98,91,5,12.26
85,Cabo San Lucas,MX,2022-02-08 19:22:33,22.8909,-109.9124,83.61,53,0,10.36
86,Gorontalo,ID,2022-02-08 19:22:34,0.5412,123.0595,72.97,94,100,3.4
87,Luanda,AO,2022-02-08 19:22:34,-8.8368,13.2343,77.0,78,0,9.22
88,Launceston,AU,2022-02-08 19:19:32,-41.45,147.1667,55.15,87,73,1.14
89,Dikson,RU,2022-02-08 19:23:35,73.5069,80.5464,3.4,94,100,22.1
90,East London,ZA,2022-02-08 19:23:35,-33.0153,27.9116,76.26,85,2,12.55
91,Hecelchakan,MX,2022-02-08 19:23:36,20.1667,-90.1333,69.08,94,100,8.03
92,Shubarshi,KZ,2022-02-08 19:23:36,48.5872,57.1869,12.29,98,93,4.83
93,Talara,PE,2022-02-08 19:23:37,-4.5772,-81.2719,81.36,57,75,9.22
94,Saint-Joseph,RE,2022-02-08 19:23:37,-21.3667,55.6167,75.58,84,40,9.48
95,Coquimbo,CL,2022-02-08 19:23:37,-29.9533,-71.3436,69.53,68,40,12.66
96,Fortuna,US,2022-02-08 19:23:38,40.5982,-124.1573,58.98,78,0,5.75
97,Faya,SA,2022-02-08 19:23:38,18.3851,42.4509,55.51,67,27,2.59
98,Gabu,GW,2022-02-08 19:23:39,12.2833,-14.2167,88.39,7,4,5.12
99,Matamoros,MX,2022-02-08 19:23:39,25.5333,-103.25,57.31,30,0,0.0
100,Pevek,RU,2022-02-08 19:23:39,69.7008,170.3133,-32.08,100,50,5.37
101,Chokurdakh,RU,2022-02-08 19:23:40,70.6333,147.9167,-43.83,100,97,5.41
102,Kitgum,UG,2022-02-08 19:23:40,3.2783,32.8867,83.79,25,68,4.09
103,Tuatapere,NZ,2022-02-08 19:23:40,-46.1333,167.6833,49.82,92,88,4.25
104,Acton Vale,CA,2022-02-08 19:23:41,45.6501,-72.5658,31.53,95,100,1.99
105,Saint George,US,2022-02-08 19:23:10,37.1041,-113.5841,63.36,26,0,4.61
106,Chuy,UY,2022-02-08 19:23:41,-33.6971,-53.4616,74.12,52,4,11.59
107,Bethel,US,2022-02-08 19:23:42,41.3712,-73.414,44.11,78,100,11.5
108,Sydney,AU,2022-02-08 19:21:29,-33.8679,151.2073,63.7,90,20,4.61
109,Nelson Bay,AU,2022-02-08 19:23:42,-32.7167,152.15,63.0,95,11,4.59
110,Nabire,ID,2022-02-08 19:23:43,-3.3667,135.4833,74.59,93,100,5.26
111,Mangan,IN,2022-02-08 19:23:43,27.5167,88.5333,50.47,73,95,2.15
112,Khani,GE,2022-02-08 19:23:44,41.9563,42.9566,40.57,77,100,8.5
113,Zelenoborsk,RU,2022-02-08 19:23:44,61.4669,64.0333,4.48,96,90,6.93
114,The Valley,AI,2022-02-08 19:23:44,18.217,-63.0578,82.26,54,20,12.66
115,Linhares,BR,2022-02-08 19:23:45,-19.3911,-40.0722,83.28,71,100,9.46
116,Port Elizabeth,ZA,2022-02-08 19:23:45,-33.918,25.5701,62.89,94,0,6.91
117,Erzin,TR,2022-02-08 19:23:46,36.9559,36.2,48.72,85,73,7.4
118,Newport,GB,2022-02-08 19:22:41,51.5877,-2.9984,52.86,84,100,15.75
119,Vaini,TO,2022-02-08 19:23:46,-21.2,-175.2,79.75,83,82,23.78
120,Alofi,NU,2022-02-08 19:23:47,-19.0595,-169.9187,73.29,94,100,8.05
121,Georgetown,MY,2022-02-08 19:18:55,5.4112,100.3354,78.73,90,40,3.44
122,Quang Ngai,VN,2022-02-08 19:23:47,15.1167,108.8,72.43,93,96,3.18
123,Clarksdale,US,2022-02-08 19:21:03,34.2001,-90.5709,55.56,47,0,10.36
124,Jamestown,US,2022-02-08 19:23:37,42.097,-79.2353,29.52,58,100,13.8
125,Kavieng,PG,2022-02-08 19:23:48,-2.5744,150.7967,81.18,80,100,8.41
126,Salym,RU,2022-02-08 19:23:48,60.0625,71.4789,-0.78,98,54,5.59
127,Kenai,US,2022-02-08 19:21:59,60.5544,-151.2583,30.15,96,100,12.66
128,Andenes,NO,2022-02-08 19:23:49,69.3143,16.1194,33.78,86,100,17.27
129,Nueva Germania,PY,2022-02-08 19:23:49,-23.9,-56.5667,91.51,19,0,5.68
130,Bilma,NE,2022-02-08 19:23:50,18.6853,12.9164,69.66,9,0,6.46
131,Hofn,IS,2022-02-08 19:23:50,64.2539,-15.2082,31.39,71,100,11.36
132,Brookhaven,US,2022-02-08 19:23:51,31.5791,-90.4407,59.95,37,0,2.57
