City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Formosa Do Rio Preto,BR,72.1,few clouds,-11.0483,-45.1931,Porto Center Hotel
171,San Patricio,US,67.15,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
177,Woodward,US,47.43,scattered clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
178,Yacuiba,BO,69.37,moderate rain,-22.038,-63.6797,Hotel Monumental
179,Constitucion,CL,58.86,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
180,Esperance,AU,73.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
192,Bembibre,ES,45.9,overcast clouds,42.6177,-6.4155,Casa Rural Santibáñez de Toral
198,Huarmey,PE,71.65,overcast clouds,-10.0681,-78.1522,Hotel Miramar
200,Bentiu,SS,72.77,few clouds,9.2333,29.8333,Mandela hôtel
202,Tura,IN,52.83,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
204,Ancud,CL,56.73,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
208,Inhambane,MZ,73.78,clear sky,-23.865,35.3833,Oceano
209,Marsabit,KE,68.81,few clouds,2.3284,37.9899,Chicho Hotel
215,Guider,CM,72.39,few clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
220,Rajapur,IN,50.05,clear sky,25.3833,81.15,Sahu Ji Galla Mills
224,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
230,Lagoa,PT,59.45,overcast clouds,39.05,-27.9833,Casa Das Faias
231,Coihaique,CL,57.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
235,Lakhimpur,IN,48.15,clear sky,27.95,80.7667,Hotel Sarna
236,Eyl,SO,71.92,overcast clouds,7.9803,49.8164,Amiin Hotel
238,Gushikawa,JP,70.83,light rain,26.3544,127.8686,Kirari Guest House
239,Machali,CL,69.89,broken clouds,-34.1833,-70.6667,Mining House
242,Cauquenes,CL,64.49,clear sky,-35.9671,-72.3225,Viña Don Heraldo
250,Parauna,BR,67.48,overcast clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
252,Palmer,US,46.24,broken clouds,42.1584,-72.3287,Wedgewood Motel
253,Canar,EC,50.04,light rain,-2.55,-78.9333,Hostería La Condesa
259,Najran,SA,57.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
261,Ascoli Piceno,IT,49.73,overcast clouds,42.8548,13.5749,Hotel Palazzo Guiderocchi
262,Tigzirt,DZ,51.87,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
263,Bethel,US,47.48,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
269,Senanga,ZM,66.18,light rain,-16.1167,23.2667,Zango lodge
270,Nakamura,JP,49.08,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
271,Bahia Blanca,AR,60.06,clear sky,-38.7196,-62.2724,Hotel Argos
273,Nkhotakota,MW,68.68,overcast clouds,-12.9274,34.2961,Sitima Inn
277,Sao Gabriel Da Cachoeira,BR,73.06,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
278,Mayo,US,61.43,clear sky,38.8876,-76.5119,Resorts Resource Group International
283,Saint Simons,US,54.07,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
285,Villazon,BO,52.72,overcast clouds,-22.0866,-65.5942,La Candelaria
288,Vila Franca Do Campo,PT,61.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
289,Nhlangano,SZ,59.38,clear sky,-27.1167,31.2,Nhlangano BnB
293,Cururupu,BR,74.71,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
294,Langsa,ID,74.68,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
295,Gwanda,ZW,66.36,clear sky,-20.9333,29.0,Mafax Homeways
302,Saltillo,MX,58.15,clear sky,25.4167,-101.0,Hotel Urdinola
303,Antofagasta,CL,69.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
304,Jalingo,NG,72.77,few clouds,8.8833,11.3667,Debright Motel
306,Toppenish,US,52.9,few clouds,46.3774,-120.3087,Legends Casino Hotel
308,Porto Nacional,BR,73.4,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
309,Te Anau,NZ,65.61,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
313,Rodrigues Alves,BR,74.23,overcast clouds,-7.738,-72.6509,Pousada Aconchego
317,Wukari,NG,72.73,clear sky,7.85,9.7833,Elimtop
322,Sirsa,IN,49.03,clear sky,29.5333,75.0167,OYO 48542 Hotel Capital
325,Churachandpur,IN,47.48,clear sky,24.3333,93.6667,M.Pumkhanjam' INN
329,Portland,US,64.35,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
330,Tamiahua,MX,68.23,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
331,Ebolowa,CM,68.34,scattered clouds,2.9,11.15,Florence Hotel Ebolowa
333,Mahon,ES,46.96,clear sky,39.8885,4.2658,ARTIEM Capri
339,Piranhas,BR,70.32,scattered clouds,-16.4269,-51.8222,Planalto Hotel
341,Katsuura,JP,48.18,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
343,Sabha,LY,48.87,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
346,Muros,ES,52.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
358,Santa Isabel Do Rio Negro,BR,73.54,moderate rain,-0.4139,-65.0192,Hotel GSA
359,Juarez,MX,66.97,clear sky,31.7333,-106.4833,Hotel Santa Fe
360,Bafq,IR,49.1,scattered clouds,31.6128,55.4107,Alamdar Hotel
362,Awbari,LY,48.58,clear sky,26.5921,12.7805,فندق أوباري
363,Sao Joao Da Barra,BR,73.15,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
364,Ambilobe,MG,72.72,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
373,Nuevo Progreso,MX,68.59,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
379,Rafraf,TN,46.71,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
380,Yanam,IN,68.4,overcast clouds,16.7333,82.2167,The Regency Hotel
381,Suez,EG,51.6,clear sky,29.9737,32.5263,Green House
387,Nouadhibou,MR,69.78,broken clouds,20.931,-17.0347,El Medina
389,Boundiali,CI,70.34,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
392,Price,US,47.46,clear sky,39.5994,-110.8107,National 9 - Price River Inn
393,Nagato,JP,51.21,overcast clouds,34.3833,131.2,いそう庵
395,Kabinda,CD,66.25,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
399,Pirenopolis,BR,70.29,overcast clouds,-15.8525,-48.9592,Hotel Pousada Mandala
405,Renukut,IN,49.98,clear sky,24.2,83.0333,Sony Service Center
406,Lashio,MM,51.12,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
408,Amudat,UG,70.21,clear sky,1.95,34.95,Silent Night Hotel
410,Basoko,CD,74.3,overcast clouds,1.2391,23.616,Jackyna Hotel
416,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
419,Viedma,AR,62.11,clear sky,-40.8135,-62.9967,Hotel Cristal
421,Salalah,OM,71.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
422,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
423,Cookeville,US,60.51,overcast clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
424,Pokaran,IN,59.36,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
428,Surt,LY,56.16,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
430,Nishihara,JP,70.88,overcast clouds,26.1842,127.7558,Minshuku Agaihama
431,Tatui,BR,64.9,clear sky,-23.3556,-47.8569,Hotel Del Fiol
433,Shiloh,US,47.12,few clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
434,East Wenatchee,US,51.85,clear sky,47.4157,-120.2931,Coast Wenatchee Center Hotel
435,Isla Mujeres,MX,73.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
439,Mardan,PK,46.94,clear sky,34.2019,72.0525,Khyber tobacco
440,Ruteng,ID,70.18,moderate rain,-8.6136,120.4721,Hotel FX 72
449,Myingyan,MM,64.09,clear sky,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
452,Japura,ID,72.99,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
453,Balapur,IN,59.63,few clouds,20.6667,76.7667,Ambika Hotel & Cold drinks
456,Necochea,AR,58.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
459,Miguel Hidalgo,MX,62.58,broken clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
463,Ovalle,CL,72.25,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
468,Mmathubudukwane,BW,66.42,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
469,Luangwa,ZM,69.51,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
472,Uyuni,BO,56.98,overcast clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
473,Doha,QA,66.09,clear sky,25.2867,51.5333,Movenpick Hotel Doha
476,Miraflores,MX,62.02,clear sky,19.2167,-98.8083,Hotel Mansión
479,Praia Da Vitoria,PT,59.25,few clouds,38.7333,-27.0667,Hotel Branco I
480,Oussouye,SN,73.58,clear sky,12.485,-16.5469,Auberge du Routard
485,Marsh Harbour,BS,74.28,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
490,Puerto Baquerizo Moreno,EC,74.86,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
492,Ayyampettai,IN,73.96,overcast clouds,10.9014,79.1798,ALA Resort
494,Arlit,NE,63.01,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
495,Placerville,US,67.82,clear sky,38.7296,-120.7986,Historic Cary House Hotel
497,Naze,JP,61.72,broken clouds,28.3667,129.4833,Shishime Hotel
500,Garmsar,IR,45.46,overcast clouds,35.2182,52.3409,آذین فوم
503,Nakhon Phanom,TH,75.0,broken clouds,17.3333,104.4167,ป่ายางรีสอร์ท
507,Guerrero Negro,MX,69.89,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
520,Ginowan,JP,70.41,overcast clouds,26.2627,127.7615,ゲストハウスたけとみ 予約センター
522,Rawson,AR,61.83,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
526,Baiao,BR,72.88,light rain,-2.7906,-49.6717,Hotel Eurosono
527,Ojinaga,MX,70.75,clear sky,29.5667,-104.4167,Suites Las Palmas
